Core Business Functions,Allied Atomic Functions,Technical Functions,Enabling Operations,Encapsulated Functions,Release3/ Fault Count,Fault Severity,Dependency/cross cutting,Verdict,Priority Order
10,0,0,0,0,0,0,3,1,4
10,0,0,0,0,0,0,3,1,5
10,0,0,0,0,0,0,3,1,6
10,0,0,0,0,0,0,3,1,7
10,0,0,0,0,0,0,3,1,8
10,0,0,0,0,0,0,3,1,9
10,0,0,0,0,0,0,3,1,10
10,0,0,0,0,0,0,3,1,11
0,0,0,0,2,0,0,3,1,12
0,0,0,0,2,0,0,3,1,13
0,0,0,4,0,0,0,3,1,14
10,0,0,0,0,0,0,3,1,15
10,0,0,0,0,0,0,3,1,16
0,0,6,0,0,0,0,3,1,17
0,0,6,0,0,1,1,3,0,2
0,0,0,0,1,0,0,3,1,72
0,7,0,0,0,0,0,2,1,77
0,8,0,0,0,0,0,3,1,18
0,0,0,0,2,0,0,3,1,19
0,7,0,0,0,0,0,2,1,78
0,0,5,0,0,0,0,2,1,83
0,0,5,0,0,0,0,2,1,84
0,0,5,0,0,0,0,2,1,85
0,0,5,0,0,0,0,2,1,86
0,0,5,0,0,0,0,2,1,87
0,0,5,0,0,0,0,1,1,102
10,0,0,0,0,0,0,3,1,20
0,0,6,0,0,0,0,3,1,21
0,0,6,0,0,0,0,3,1,22
0,0,6,0,0,0,0,3,1,23
0,0,0,4,0,0,0,3,1,24
0,0,0,4,0,0,0,3,1,25
0,0,0,4,0,1,2,3,0,1
0,0,6,0,0,0,0,3,1,26
0,0,6,0,0,0,0,3,1,27
0,7,0,0,0,0,0,2,1,79
0,0,6,0,0,0,0,3,1,28
9,0,0,0,0,0,0,2,1,73
0,0,0,0,2,0,0,3,1,29
0,0,0,0,2,0,0,3,1,30
10,0,0,0,0,0,0,3,1,31
0,7,0,0,0,0,0,2,1,80
0,0,6,0,0,0,0,3,1,32
9,0,0,0,0,0,0,2,1,74
0,8,0,0,0,0,0,3,1,33
0,0,5,0,0,0,0,1,1,103
0,0,5,0,0,0,0,2,1,88
0,0,5,0,0,0,0,2,1,89
0,0,0,4,0,0,0,3,1,34
10,0,0,0,0,0,0,3,1,35
0,0,5,0,0,0,0,1,1,104
0,0,5,0,0,0,0,2,1,90
0,0,5,0,0,0,0,2,1,91
0,7,0,0,0,0,0,1,1,95
0,8,0,0,0,0,0,3,1,36
0,8,0,0,0,0,0,3,1,37
0,8,0,0,0,0,0,3,1,38
0,8,0,0,0,0,0,3,1,39
0,8,0,0,0,0,0,3,1,40
0,7,0,0,0,0,0,1,1,96
0,8,0,0,0,0,0,3,1,41
0,8,0,0,0,0,0,3,1,42
0,8,0,0,0,0,0,3,1,43
0,8,0,0,0,0,0,3,1,44
0,8,0,0,0,0,0,3,1,45
0,8,0,0,0,0,0,3,1,46
0,7,0,0,0,0,0,1,1,97
0,7,0,0,0,0,0,1,1,98
0,7,0,0,0,0,0,1,1,99
0,7,0,0,0,0,0,1,1,100
0,7,0,0,0,0,0,1,1,101
0,8,0,0,0,0,0,3,1,47
0,8,0,0,0,0,0,3,1,48
0,8,0,0,0,0,0,3,1,49
0,8,0,0,0,0,0,3,1,50
0,8,0,0,0,0,0,3,1,51
0,8,0,0,0,0,0,3,1,52
10,0,0,0,0,0,0,3,1,53
0,0,0,4,0,0,0,3,1,54
0,0,6,0,0,0,0,3,1,55
10,0,0,0,0,0,0,3,1,56
0,0,0,4,0,0,0,3,1,57
0,0,6,0,0,0,0,3,1,58
10,0,0,0,0,0,0,3,1,59
0,0,0,4,0,0,0,3,1,60
0,0,0,4,0,0,0,3,1,61
0,0,0,4,0,0,0,3,1,62
10,0,0,0,0,0,0,3,1,63
0,0,0,4,0,0,0,3,1,64
0,0,0,4,0,0,0,3,1,65
0,0,6,0,0,0,0,3,1,66
0,7,0,0,0,0,0,2,1,81
9,0,0,0,0,0,0,2,1,75
9,0,0,0,0,0,0,2,1,76
0,8,0,0,0,0,0,3,1,67
0,7,0,0,0,0,0,2,1,82
0,0,6,0,0,1,1,3,0,3
0,0,0,0,2,0,0,3,1,68
0,0,0,0,2,0,0,3,1,69
10,0,0,0,0,0,0,3,1,70
10,0,0,0,0,0,0,3,1,71
0,0,0,0,0,0,0,3,1,92
0,0,0,0,0,0,0,3,1,93
0,0,0,0,0,0,0,3,1,94
